date,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,offshore
13/01/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/01/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/01/2020,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/01/2020,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23/01/2020,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24/01/2020,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26/01/2020,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27/01/2020,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28/01/2020,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
29/01/2020,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
30/01/2020,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
31/01/2020,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
03/02/2020,4.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
04/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
17/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0
18/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0
20/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,5.0
21/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0
22/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,7.0
29/02/2020,4.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,7.0
